"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","IOUT (mA)","VIN  MIN.  (V)","VIN  MAX.  (V)","IQ  (µA)","Acc","Vdrop  (mV)","VOUT  1.2V","VOUT  1.5V","VOUT   1.8V","VOUT  2.0V","VOUT  2.5V","VOUT  2.7V","VOUT  2.85V","VOUT  2.8V","VOUT  3.0V","VOUT  3.3V","VOUT  3.5V","VOUT  5.0V","VOUT  Adj."
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX2431","SPX2431AM5/TR","http://www.exar.com/common/content/document.ashx?id=735&languageid=1033&type=datasheet&part=spx2431","http://www.exar.com/power-management/system-controls/voltage-references/spx2431/","Precision Adjustable Shunt Regulator","100","-","20","1000","0.5%, 1%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX2431","SPX2431AM5-L","http://www.exar.com/common/content/document.ashx?id=735&languageid=1033&type=datasheet&part=spx2431","http://www.exar.com/power-management/system-controls/voltage-references/spx2431/","Precision Adjustable Shunt Regulator","100","-","20","1000","0.5%, 1%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX2431","SPX2431AM-L","http://www.exar.com/common/content/document.ashx?id=735&languageid=1033&type=datasheet&part=spx2431","http://www.exar.com/power-management/system-controls/voltage-references/spx2431/","Precision Adjustable Shunt Regulator","100","-","20","1000","0.5%, 1%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX2431","SPX2431AM-L/TR","http://www.exar.com/common/content/document.ashx?id=735&languageid=1033&type=datasheet&part=spx2431","http://www.exar.com/power-management/system-controls/voltage-references/spx2431/","Precision Adjustable Shunt Regulator","100","-","20","1000","0.5%, 1%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX2431","SPX2431LAN-L","http://www.exar.com/common/content/document.ashx?id=735&languageid=1033&type=datasheet&part=spx2431","http://www.exar.com/power-management/system-controls/voltage-references/spx2431/","Precision Adjustable Shunt Regulator","100","-","20","1000","0.5%, 1%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX2431","SPX2431LM-L","http://www.exar.com/common/content/document.ashx?id=735&languageid=1033&type=datasheet&part=spx2431","http://www.exar.com/power-management/system-controls/voltage-references/spx2431/","Precision Adjustable Shunt Regulator","100","-","20","1000","0.5%, 1%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX2431","SPX2431LM-L/TR","http://www.exar.com/common/content/document.ashx?id=735&languageid=1033&type=datasheet&part=spx2431","http://www.exar.com/power-management/system-controls/voltage-references/spx2431/","Precision Adjustable Shunt Regulator","100","-","20","1000","0.5%, 1%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX2431","SPX2431M","http://www.exar.com/common/content/document.ashx?id=735&languageid=1033&type=datasheet&part=spx2431","http://www.exar.com/power-management/system-controls/voltage-references/spx2431/","Precision Adjustable Shunt Regulator","100","-","20","1000","0.5%, 1%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX2431","SPX2431M/TR","http://www.exar.com/common/content/document.ashx?id=735&languageid=1033&type=datasheet&part=spx2431","http://www.exar.com/power-management/system-controls/voltage-references/spx2431/","Precision Adjustable Shunt Regulator","100","-","20","1000","0.5%, 1%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management---System Controls-Voltage References-Voltage References","SPX2431","SPX2431M5","http://www.exar.com/common/content/document.ashx?id=735&languageid=1033&type=datasheet&part=spx2431","http://www.exar.com/power-management/system-controls/voltage-references/spx2431/","Precision Adjustable Shunt Regulator","100","-","20","1000","0.5%, 1%","-","-","-","-","-","-","-","-","-","-","-","-","-","▪"
